Job_Title,Rating,Company_Name,Company_Location,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,SAS,Statistics,Machine_Learning,SQL,Python,Tableau,BI,AWS,GoogleCloud,Azure,Excel,Powerpoint,Lowest_Salary(1000s),Highest_Salary(1000s),Avg_Salary(1000s),Highest_salary>120K
Sr. Data Scientist,3.5,Hopper,New York, NY,"Montreal, Canada",501 to 1000 ,2007,Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,Unknown,1,1,1,1,0,1,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,4.5,Noom US,New York, NY,"New York, NY",1001 to 5000 ,2008,Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist Manager,3.4,Sapphire Digital,Lyndhurst, NJ,"Lyndhurst, NJ",201 to 500 ,2019,Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Healthgrades",1,0,0,1,1,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist Manager,3.4,United Entertainment Group,New York, NY,"New York, NY",51 to 200 ,2007,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"BBDO, Grey Group, Droga5",0,0,1,0,1,0,0,0,0,0,1,1,111,181,146,1.0
Data Scientist,2.9,IFG Companies,New York, NY,"Hartford, CT",201 to 500 ,1985,Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI",1,1,1,1,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist Researcher,4.4,PDT Partners,New York, NY,"New York, NY",51 to 200 ,1993,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,1,0,0,1,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist,5.0,Paige,New York, NY,"New York, NY",1 to 50 ,2018,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist Researcher,4.8,Jane Street,New York, NY,"New York, NY",501 to 1000 ,2000,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,3.9,Quartet Health,New York, NY,"New York, NY",201 to 500 ,2014,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,1,1,1,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,4.4,PulsePoint,New York, NY,"New York, NY",51 to 200 ,2011,Private,Internet,Information Technology,$100  to  $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",0,1,1,0,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,4.3,Medidata Solutions,New York, NY,"New York, NY",1001 to 5000 ,1999,Public,Enterprise Software & Network Solutions,Information Technology,$500 million  to  $1 billion (USD),Oracle,0,1,1,1,1,0,0,1,0,0,0,0,111,181,146,1.0
Data Scientist,3.9,Point72,New York, NY,"Stamford, CT",1001 to 5000 ,2014,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,4.4,Two Sigma,New York, NY,"New York, NY",1001 to 5000 ,2001,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,3.0,Affinity Solutions,New York, NY,"New York, NY",51 to 200 ,1998,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",1,1,1,1,1,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist,3.6,Etsy,Brooklyn, NY,"Brooklyn, NY",501 to 1000 ,2005,Public,Other Retail Stores,Retail,$100  to  $500 million (USD),"Airbnb, Warby Parker, Kickstarter",0,0,0,1,1,1,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,3.3,PA Consulting,New York, NY,"London, United Kingdom",1001 to 5000 ,1943,Private,Consulting,Business Services,$100  to  $500 million (USD),"McKinsey & Company, Accenture, Deloitte",0,1,1,1,1,1,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,3.6,Etsy,New York, NY,"Brooklyn, NY",501 to 1000 ,2005,Public,Other Retail Stores,Retail,$100  to  $500 million (USD),"Airbnb, Warby Parker, Kickstarter",0,0,0,1,1,1,0,0,0,0,0,0,111,181,146,1.0
Sr. Data Scientist,3.9,7Park Data,New York, NY,"New York, NY",51 to 200 ,2012,Private,Research & Development,Business Services,Unknown / Non-Applicable,Unknown,0,1,1,0,1,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist,4.0,Walt Disney Co.,New York, NY,"Burbank, CA",10000+ ,1923,Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",0,1,1,1,1,1,0,1,0,0,0,0,111,181,146,1.0
Sr. Data Scientist,3.4,Squarespace,New York, NY,"New York, NY",1001 to 5000 ,2003,Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,0,0,1,0,1,0,0,1,0,1,1,0,111,181,146,1.0
Data Scientist Researcher,4.1,Citadel Securities,New York, NY,"Chicago, IL",201 to 500 ,2002,Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,0,1,1,1,0,0,0,0,0,0,1,0,111,181,146,1.0
Sr. Data Scientist,3.4,Enterprise Integration,New York, NY,"Jacksonville, FL",51 to 200 ,1998,Private,IT Services,Information Technology,$25  to  $50 million (USD),Unknown,0,0,0,1,1,1,1,0,0,1,0,0,111,181,146,1.0
Data Scientist,4.4,WITHIN,New York, NY,"New York, NY",51 to 200 ,2015,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist,3.8,Spotify,New York, NY,"Stockholm, Sweden",1001 to 5000 ,2006,Public,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,1,1,1,1,1,0,0,0,0,0,0,111,181,146,1.0
Data Scientist,4.1,Datadog,New York, NY,"New York, NY",1001 to 5000 ,2010,Public,Computer Hardware & Software,Information Technology,$100  to  $500 million (USD),Unknown,0,0,1,1,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist Manager,3.3,Aetna,New York, NY,"Hartford, CT",10000+ ,1853,Public,Insurance Carriers,Insurance,$10+ billion (USD),Unknown,0,1,1,0,0,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist,5.0,Hungryroot,New York, NY,"New York, NY",1 to 50 ,2015,Private,"Health, Beauty, & Fitness",Consumer Services,$25  to  $50 million (USD),Unknown,0,1,0,1,1,0,0,0,0,0,0,0,111,181,146,1.0
Data Scientist Manager,3.3,Aetna,New York, NY,"Hartford, CT",10000+ ,1853,Public,Insurance Carriers,Insurance,$10+ billion (USD),Unknown,0,0,1,0,0,0,0,0,0,0,1,0,111,181,146,1.0
Data Scientist,4.3,Caserta,New York, NY,"New York, NY",51 to 200 ,2001,Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,0,1,0,0,1,1,1,0,0,120,140,130,1.0
Data Scientist,3.7,Lyft,New York, NY,"San Francisco, CA",5001 to 10000 ,2012,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown,0,1,0,1,1,0,0,1,0,0,0,0,120,140,130,1.0
Data Scientist,4.3,IBG LLC,New York, NY,"Memphis, TN",201 to 500 ,1990,Private,Brokerage Services,Finance,$100  to  $500 million (USD),Unknown,1,1,1,0,0,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,3.0,CLEAR,New York, NY,"New York, NY",1001 to 5000 ,2010,Private,Security Services,Business Services,Unknown / Non-Applicable,Unknown,0,1,1,1,1,1,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.7,GNY Insurance Companies,New York, NY,"New York, NY",201 to 500 ,1914,Private,Insurance Carriers,Insurance,$100  to  $500 million (USD),"Travelers, Chubb, Crum & Forster",0,1,1,1,1,0,0,0,0,0,0,0,120,140,130,1.0
Sr. Data Scientist,3.4,Squarespace,New York, NY,"New York, NY",1001 to 5000 ,2003,Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,0,0,0,1,1,1,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,4.2,infarm,New York, NY,"Berlin, Germany",501 to 1000 ,2013,Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,Unknown,0,1,0,1,1,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,4.6,Bowery Farming,New York, NY,"New York, NY",51 to 200 ,2015,Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,1,0,0,0,0,120,140,130,1.0
Data Scientist Researcher,4.1,Citadel Securities,New York, NY,"Chicago, IL",201 to 500 ,2002,Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,0,1,1,0,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,4.3,Braze,New York, NY,"New York, NY",501 to 1000 ,2011,Private,Advertising & Marketing,Business Services,$100  to  $500 million (USD),Unknown,0,0,0,0,1,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,4.5,Facebook,New York, NY,"Menlo Park, CA",10000+ ,2004,Public,Internet,Information Technology,$5  to  $10 billion (USD),"Google, Microsoft, Apple",0,1,1,1,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.9,Crisis Text Line,New York, NY,"New York, NY",51 to 200 ,2013,Organization,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable,Unknown,0,1,0,1,1,1,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.4,Casper,New York, NY,"New York, NY",501 to 1000 ,2014,Public,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable,Unknown,0,1,1,1,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.6,Tower Research Capital,New York, NY,"New York, NY",501 to 1000 ,1998,Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.5,Codecademy,New York, NY,"New York, NY",51 to 200 ,2011,Private,Education Training Services,Education,Unknown / Non-Applicable,Unknown,0,0,0,1,1,1,0,0,0,0,0,0,120,140,130,1.0
Data Analyst,3.9,Point72,New York, NY,"Stamford, CT",1001 to 5000 ,2014,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,0,0,1,1,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,3.9,JPMorgan Chase,New York, NY,"New York, NY",10000+ ,1799,Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Unknown,0,1,1,0,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.2,viagogo,New York, NY,"New York, NY",501 to 1000 ,2006,Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,1,0,1,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,0.0,CompIQ,New York, NY,"New York, NY",1 to 50 ,2015,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,1,1,0,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist Manager,3.3,Aetna,New York, NY,"Hartford, CT",10000+ ,1853,Public,Insurance Carriers,Insurance,$10+ billion (USD),Unknown,0,1,1,0,0,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,4.2,Gallup,New York, NY,"Washington, DC",1001 to 5000 ,1935,Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",0,1,1,0,1,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,3.6,eBay,New York, NY,"San Jose, CA",10000+ ,1995,Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple",0,1,0,1,1,0,0,0,0,0,0,0,120,140,130,1.0
Data Scientist,3.9,Amazon,New York, NY,"Seattle, WA",10000+ ,1994,Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",1,1,1,1,1,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,3.9,Amazon,New York, NY,"Seattle, WA",10000+ ,1994,Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,1,1,1,1,0,0,0,0,0,1,0,120,140,130,1.0
Data Scientist,3.8,Spotify,New York, NY,"Stockholm, Sweden",1001 to 5000 ,2006,Public,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,0,0,0,0,0,119,147,133,1.0
Data Scientist,5.0,Snappy,New York, NY,"New York, NY",1 to 50 ,2015,Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,1,0,0,0,0,119,147,133,1.0
Data Scientist,3.4,Aptus Health,New York, NY,"Reading, MA",201 to 500 ,2008,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,1,0,1,1,0,0,0,0,0,0,119,147,133,1.0
